SimNumber,Slices,Startframe,Xval,Yval,Height
1,500,86955,170398,60741,4
2,500,86955,170898,60741,4
3,500,86955,170398,61241,4
4,500,86955,170898,61241,4
5,500,87455,170398,60741,4
6,500,87455,170898,60741,4
7,500,87455,170398,61241,4
8,500,87455,170898,61241,4
9,500,1,1250,250,4
10,500,1,1750,250,4
11,500,1,5250,250,4
12,500,1,5750,250,4
13,500,1,5250,750,4
14,500,1,5750,750,4
15,500,501,5250,250,4
16,500,501,5750,250,4
17,500,501,5250,750,4
18,500,501,5750,750,4
19,500,1,2250,250,4
20,500,1,2750,250,4
